,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels
5410,1037,0.1055793117491346,0.5278658569355619,2.5768770756352047e-05,0.4587445966423787,0.006044536848433501,7.024034198270559e-05,2201.3490838958533,0
2014,1411,0.14365709631439624,0.5386935775791148,3.929355260977946e-05,0.45374187614035616,0.009086553886270745,7.797468652370569e-05,2364.383416017009,0
5680,914,0.09305640399104052,0.5243993593166044,1.3635945180865191e-05,0.5314075078911229,0.006209355745709579,5.842950124505993e-05,2586.059080962801,0
6936,877,0.08928935043779271,0.5233654819630202,1.3855848423423181e-05,0.4970790834257509,0.005230836794502965,5.2780701292956384e-05,2194.3774230330673,0
9175,563,0.05732030136428426,0.5146450091695048,4.595081431972553e-06,0.5883011068058128,0.00399244650081553,3.418213406138922e-05,2699.714031971581,0
9057,420,0.04276114844227245,0.5107644305772231,2.329401024606927e-06,0.6459824980111376,0.0023454526951192127,3.6524434291143674e-05,2102.638095238095,0
9080,113,0.011504785176135207,0.5001272977239167,0.0,1.0,0.0005004830099046511,1.9079588129840606e-05,1613.725663716814,0
9154,573,0.058338423946243126,0.5148878171524428,4.970613865657391e-06,0.5602277303847985,0.0034026901302647663,3.91734338673892e-05,2172.0279232111693,0
8467,527,0.05365506006923233,0.5135417755934331,3.686482015443774e-06,0.6039133916782707,0.0033537333398613364,3.602770645641002e-05,2396.740037950664,0
8751,283,0.02881286906943596,0.5066281528859545,9.031585076236774e-07,0.7123775154750269,0.0015523501161969569,2.580433177671854e-05,2010.2544169611308,0
4377,1165,0.1186112807982081,0.5315222685210239,4.742666858300355e-05,0.41177676503989497,0.0066963064308132375,9.900514845562769e-05,2162.312446351931,0
4048,1329,0.13530849114233354,0.5362817362817363,5.1683446701281216e-05,0.3896749526321992,0.007246304926173005,8.423898745652016e-05,1990.1753197893154,1
8593,664,0.06760333944206882,0.5174920969441518,7.3687789975908e-06,0.5687955441676207,0.00508460107394632,3.655900575897113e-05,2942.382530120482,0
9406,583,0.05935654652820199,0.5151848937844217,4.789316925385373e-06,0.6072571660978586,0.004463559853686447,3.332813343849004e-05,2910.2675814751287,0
6507,918,0.09346365302382406,0.5245113745594361,1.547095726305043e-05,0.5019113667519595,0.00612683013099798,4.989866357769034e-05,2511.830065359477,0
7265,981,0.09987782529016494,0.5262819482398329,1.9802908375395432e-05,0.4693565499594333,0.006388275561261335,5.058968519297656e-05,2428.4057084607543,0
3704,1091,0.11107717369171248,0.5294022530049048,1.9041581620724686e-05,0.5285295032753387,0.007603623646215905,6.760783395615697e-05,2651.3950504124655,1
3944,463,0.04713907554469558,0.5120425398811386,2.7892289157499667e-06,0.6563443755668378,0.0035944335192013943,3.0967075842724736e-05,3020.8855291576674,0
6979,349,0.03553247811036449,0.5089382869578735,2.3084751505734534e-06,0.6577083950861246,0.002130013260875251,3.17374951967054e-05,2498.025787965616,0
9159,300,0.030543677458766034,0.5077280951150168,1.4471346316752719e-06,0.7107469342251951,0.002227885773187336,2.638500358665108e-05,3087.86,0
3434,549,0.05589492974954184,0.5143754909662215,7.85888614545927e-06,0.5766157446186164,0.002744133862913168,4.850795314445517e-05,2035.8105646630236,0
